base_plus_pca_skill,base_plus_pca_uncertainty_skill,base_plus_surprise_velocity_skill,base_plus_surprise_velocity_uncertainty_skill,base_plus_uncertainty_skill,base_skill,block_rows,block_seconds,ci_high,ci_low,diagnostic,draws,feature,increment_beyond_surprise_velocity,paired_intervals,quintile_monotonic,quintile_samples,quintile_target_means,samples,seed,spearman,target
,,,,,,24,120,-0.11070889481748394,-0.2679703371649597,diagnostic_1,500,aligned_cross_seed_uncertainty_5s,,,False,"[0,0,0,0,2342]","[null,null,null,null,4.62682661620294e-05]",2342,0,-0.1945771640342547,absolute_atm_straddle_change
,,,,,,60,300,-0.09437666844084373,-0.26435010483206134,diagnostic_1,500,aligned_cross_seed_uncertainty_5s,,,False,"[0,0,0,0,2342]","[null,null,null,null,4.62682661620294e-05]",2342,0,-0.1945771640342547,absolute_atm_straddle_change
,,,,,,12,60,-0.0008298847432592156,-0.13740900385543053,diagnostic_1,500,aligned_cross_seed_uncertainty_5s,,,False,"[0,0,0,0,2342]","[null,null,null,null,3.615126816807776e-07]",2342,0,-0.07117335777616812,parity_restoration
,,,,,,24,120,-0.008033921260477079,-0.12148437145065606,diagnostic_1,500,aligned_cross_seed_uncertainty_5s,,,False,"[0,0,0,0,2342]","[null,null,null,null,3.615126816807776e-07]",2342,0,-0.07117335777616812,parity_restoration
,,,,,,60,300,-0.00812823445508593,-0.11517344365861028,diagnostic_1,500,aligned_cross_seed_uncertainty_5s,,,False,"[0,0,0,0,2342]","[null,null,null,null,3.615126816807776e-07]",2342,0,-0.07117335777616812,parity_restoration
-0.004032467533416906,-0.001700586129483428,0.03136636349233768,-0.011313576492635757,-0.08622103705888917,-0.08200533791537845,,,,,diagnostic_1,,uncertainty_increment_5s,-0.042679939984973436,"{""base_to_candidate"":{""60s"":{""mean_mae_reduction"":-8.083485906941774e-05,""ci_low"":-8.634171691607653e-05,""ci_high"":-7.445051916728816e-05,""positive_probability"":0.0,""block_rows"":12,""draws"":500},""120s"":{""mean_mae_reduction"":-8.083485906941774e-05,""ci_low"":-8.759534508598242e-05,""ci_high"":-7.43918314991152e-05,""positive_probability"":0.0,""block_rows"":24,""draws"":500},""300s"":{""mean_mae_reduction"":-8.083485906941774e-05,""ci_low"":-8.840412542047479e-05,""ci_high"":-7.333900112996203e-05,""positive_probability"":0.0,""block_rows"":60,""draws"":500}},""base_pca_to_candidate"":{""60s"":{""mean_mae_reduction"":4.471317763358505e-05,""ci_low"":4.067024325882307e-05,""ci_high"":4.9290130611405186e-05,""positive_probability"":1.0,""block_rows"":12,""draws"":500},""120s"":{""mean_mae_reduction"":4.471317763358505e-05,""ci_low"":3.9656054369447795e-05,""ci_high"":4.9546528824835386e-05,""positive_probability"":1.0,""block_rows"":24,""draws"":500},""300s"":{""mean_mae_reduction"":4.471317763358505e-05,""ci_low"":3.946784072151632e-05,""ci_high"":4.970453104845926e-05,""positive_probability"":1.0,""block_rows"":60,""draws"":500}},""comparator_to_candidate"":{""60s"":{""mean_mae_reduction"":-0.0008183759837528162,""ci_low"":-0.0009122921132740354,""ci_high"":-0.0007367828827322333,""positive_probability"":0.0,""block_rows"":12,""draws"":500},""120s"":{""mean_mae_reduction"":-0.0008183759837528162,""ci_low"":-0.0009229710247372302,""ci_high"":-0.0007202447715981543,""positive_probability"":0.0,""block_rows"":24,""draws"":500},""300s"":{""mean_mae_reduction"":-0.0008183759837528162,""ci_low"":-0.0009153208061984693,""ci_high"":-0.000727427353128043,""positive_probability"":0.0,""block_rows"":60,""draws"":500}}}",,,,,0,,surface_displacement
0.1412867257999385,0.14652816244047984,0.17882392188547813,0.18074493919860124,0.17636853560301957,0.1716380222591154,,,,,diagnostic_1,,uncertainty_increment_5s,0.0019210173131231079,"{""base_to_candidate"":{""60s"":{""mean_mae_reduction"":2.0546010035973124e-05,""ci_low"":1.933962566270464e-05,""ci_high"":2.17233228998904e-05,""positive_probability"":1.0,""block_rows"":12,""draws"":500},""120s"":{""mean_mae_reduction"":2.0546010035973124e-05,""ci_low"":1.9116347706133804e-05,""ci_high"":2.2098193851198247e-05,""positive_probability"":1.0,""block_rows"":24,""draws"":500},""300s"":{""mean_mae_reduction"":2.0546010035973124e-05,""ci_low"":1.8597927926267083e-05,""ci_high"":2.2245006009742394e-05,""positive_probability"":1.0,""block_rows"":60,""draws"":500}},""base_pca_to_candidate"":{""60s"":{""mean_mae_reduction"":2.2765100104463113e-05,""ci_low"":2.1588625579080827e-05,""ci_high"":2.388775017501608e-05,""positive_probability"":1.0,""block_rows"":12,""draws"":500},""120s"":{""mean_mae_reduction"":2.2765100104463113e-05,""ci_low"":2.1376483193431078e-05,""ci_high"":2.4181775757619913e-05,""positive_probability"":1.0,""block_rows"":24,""draws"":500},""300s"":{""mean_mae_reduction"":2.2765100104463113e-05,""ci_low"":2.0942187418766186e-05,""ci_high"":2.464467070081054e-05,""positive_probability"":1.0,""block_rows"":60,""draws"":500}},""comparator_to_candidate"":{""60s"":{""mean_mae_reduction"":8.343542893831029e-06,""ci_low"":7.869593143294907e-06,""ci_high"":8.886658729176232e-06,""positive_probability"":1.0,""block_rows"":12,""draws"":500},""120s"":{""mean_mae_reduction"":8.343542893831029e-06,""ci_low"":7.758738126123936e-06,""ci_high"":9.024535679048662e-06,""positive_probability"":1.0,""block_rows"":24,""draws"":500},""300s"":{""mean_mae_reduction"":8.343542893831029e-06,""ci_low"":7.688513380824002e-06,""ci_high"":9.065289479098162e-06,""positive_probability"":1.0,""block_rows"":60,""draws"":500}}}",,,,,0,,absolute_atm_iv_change
,,,,,,12,60,0.08243840978138192,0.017126043639938353,diagnostic_2,500,aligned_cross_seed_uncertainty_5s,,,False,"[0,0,0,0,4477]","[null,null,null,null,0.043788369207352976]",4477,0,0.052736516940532406,surface_displacement
,,,,,,24,120,0.08267227269522916,0.013726667936358681,diagnostic_2,500,aligned_cross_seed_uncertainty_5s,,,False,"[0,0,0,0,4477]","[null,null,null,null,0.043788369207352976]",4477,0,0.052736516940532406,surface_displacement
,,,,,,60,300,0.0822741116326227,0.009895648023151703,diagnostic_2,500,aligned_cross_seed_uncertainty_5s,,,False,"[0,0,0,0,4477]","[null,null,null,null,0.043788369207352976]",4477,0,0.052736516940532406,surface_displacement
,,,,,,12,60,0.053201694328261565,-0.011098988681774715,diagnostic_2,500,aligned_cross_seed_uncertainty_5s,,,False,"[0,0,0,0,4477]","[null,null,null,null,0.005322463640696454]",4477,0,0.020524858047258128,absolute_atm_iv_change
,,,,,,24,120,0.05102802622288975,-0.013848240445282921,diagnostic_2,500,aligned_cross_seed_uncertainty_5s,,,False,"[0,0,0,0,4477]","[null,null,null,null,0.005322463640696454]",4477,0,0.020524858047258128,absolute_atm_iv_change
,,,,,,60,300,0.05235674928747247,-0.012628428425680271,diagnostic_2,500,aligned_cross_seed_uncertainty_5s,,,False,"[0,0,0,0,4477]","[null,null,null,null,0.005322463640696454]",4477,0,0.020524858047258128,absolute_atm_iv_change
,,,,,,12,60,0.17214234636412645,0.021168023674760016,diagnostic_2,500,aligned_cross_seed_uncertainty_5s,,,False,"[0,0,0,0,4477]","[null,null,null,null,0.0001253889831551262]",4477,0,0.09510660500263482,realized_futures_volatility
,,,,,,24,120,0.18204494864280052,0.009041060343538307,diagnostic_2,500,aligned_cross_seed_uncertainty_5s,,,False,"[0,0,0,0,4477]","[null,null,null,null,0.0001253889831551262]",4477,0,0.09510660500263482,realized_futures_volatility
,,,,,,60,300,0.20912815643414312,-0.0004854851235192748,diagnostic_2,500,aligned_cross_seed_uncertainty_5s,,,False,"[0,0,0,0,4477]","[null,null,null,null,0.0001253889831551262]",4477,0,0.09510660500263482,realized_futures_volatility
,,,,,,12,60,0.06505366772517614,-0.05500271468717805,diagnostic_2,500,aligned_cross_seed_uncertainty_5s,,,False,"[0,0,0,0,4477]","[null,null,null,null,9.158639096244521e-05]",4477,0,0.0087022480605867,absolute_futures_return
,,,,,,24,120,0.07130387103175893,-0.05739320821300853,diagnostic_2,500,aligned_cross_seed_uncertainty_5s,,,False,"[0,0,0,0,4477]","[null,null,null,null,9.158639096244521e-05]",4477,0,0.0087022480605867,absolute_futures_return
,,,,,,60,300,0.0900631504076062,-0.06566076065422136,diagnostic_2,500,aligned_cross_seed_uncertainty_5s,,,False,"[0,0,0,0,4477]","[null,null,null,null,9.158639096244521e-05]",4477,0,0.0087022480605867,absolute_futures_return
,,,,,,12,60,0.03233881612181941,-0.016720123689684434,diagnostic_2,500,aligned_cross_seed_uncertainty_5s,,,False,"[0,0,0,0,4477]","[null,null,null,null,-2.1047722142079905e-07]",4477,0,0.006963023116738896,near_atm_spread_change
,,,,,,24,120,0.027773156734324976,-0.012089298931685019,diagnostic_2,500,aligned_cross_seed_uncertainty_5s,,,False,"[0,0,0,0,4477]","[null,null,null,null,-2.1047722142079905e-07]",4477,0,0.006963023116738896,near_atm_spread_change
,,,,,,60,300,0.022660364396856314,-0.007069539129078862,diagnostic_2,500,aligned_cross_seed_uncertainty_5s,,,False,"[0,0,0,0,4477]","[null,null,null,null,-2.1047722142079905e-07]",4477,0,0.006963023116738896,near_atm_spread_change
,,,,,,12,60,0.07480389627718308,-0.03301149521193454,diagnostic_2,500,aligned_cross_seed_uncertainty_5s,,,False,"[0,0,0,0,4477]","[null,null,null,null,7.251794109866106e-05]",4477,0,0.020039411110048717,absolute_atm_straddle_change
,,,,,,24,120,0.07961331619249208,-0.03825792995817794,diagnostic_2,500,aligned_cross_seed_uncertainty_5s,,,False,"[0,0,0,0,4477]","[null,null,null,null,7.251794109866106e-05]",4477,0,0.020039411110048717,absolute_atm_straddle_change
,,,,,,60,300,0.09552538568903984,-0.04360934633248194,diagnostic_2,500,aligned_cross_seed_uncertainty_5s,,,False,"[0,0,0,0,4477]","[null,null,null,null,7.251794109866106e-05]",4477,0,0.020039411110048717,absolute_atm_straddle_change
,,,,,,12,60,0.041142847283255526,-0.055274611046574,diagnostic_2,500,aligned_cross_seed_uncertainty_5s,,,False,"[0,0,0,0,4477]","[null,null,null,null,8.705193779354523e-08]",4477,0,-0.005757784349132868,parity_restoration
,,,,,,24,120,0.04120433916298698,-0.051671830320004324,diagnostic_2,500,aligned_cross_seed_uncertainty_5s,,,False,"[0,0,0,0,4477]","[null,null,null,null,8.705193779354523e-08]",4477,0,-0.005757784349132868,parity_restoration
,,,,,,60,300,0.029885888962661013,-0.04317948947115754,diagnostic_2,500,aligned_cross_seed_uncertainty_5s,,,False,"[0,0,0,0,4477]","[null,null,null,null,8.705193779354523e-08]",4477,0,-0.005757784349132868,parity_restoration
-0.126077985639794,-0.12270839980895332,-0.048919135165174765,-0.10263284515170601,-0.22616170649519018,-0.2206168077093067,,,,,diagnostic_2,,uncertainty_increment_5s,-0.053713709986531244,"{""base_to_candidate"":{""60s"":{""mean_mae_reduction"":-0.00010663222755169316,""ci_low"":-0.0001121644200304597,""ci_high"":-0.00010059532343384586,""positive_probability"":0.0,""block_rows"":12,""draws"":500},""120s"":{""mean_mae_reduction"":-0.00010663222755169316,""ci_low"":-0.00011373640730932795,""ci_high"":-9.980447826841354e-05,""positive_probability"":0.0,""block_rows"":24,""draws"":500},""300s"":{""mean_mae_reduction"":-0.00010663222755169316,""ci_low"":-0.00011536926518824255,""ci_high"":-9.736525731421015e-05,""positive_probability"":0.0,""block_rows"":60,""draws"":500}},""base_pca_to_candidate"":{""60s"":{""mean_mae_reduction"":6.479945927668449e-05,""ci_low"":6.058206100970036e-05,""ci_high"":6.905048327428795e-05,""positive_probability"":1.0,""block_rows"":12,""draws"":500},""120s"":{""mean_mae_reduction"":6.479945927668449e-05,""ci_low"":5.982084784142743e-05,""ci_high"":6.965415773839192e-05,""positive_probability"":1.0,""block_rows"":24,""draws"":500},""300s"":{""mean_mae_reduction"":6.479945927668449e-05,""ci_low"":5.829606651929126e-05,""ci_high"":7.200678721381679e-05,""positive_probability"":1.0,""block_rows"":60,""draws"":500}},""comparator_to_candidate"":{""60s"":{""mean_mae_reduction"":-0.0010329516853420672,""ci_low"":-0.0011166328005571163,""ci_high"":-0.0009500285011869193,""positive_probability"":0.0,""block_rows"":12,""draws"":500},""120s"":{""mean_mae_reduction"":-0.0010329516853420672,""ci_low"":-0.0011189154062736344,""ci_high"":-0.0009355909630426103,""positive_probability"":0.0,""block_rows"":24,""draws"":500},""300s"":{""mean_mae_reduction"":-0.0010329516853420672,""ci_low"":-0.001166920881610421,""ci_high"":-0.0009091770898192849,""positive_probability"":0.0,""block_rows"":60,""draws"":500}}}",,,,,0,,surface_displacement
0.16518038451412187,0.17043223088429715,0.1975463677375997,0.19936796748325203,0.19405328989920145,0.1894451971199771,,,,,diagnostic_2,,uncertainty_increment_5s,0.0018215997456523247,"{""base_to_candidate"":{""60s"":{""mean_mae_reduction"":2.3562606226733278e-05,""ci_low"":2.245317824621811e-05,""ci_high"":2.4621343218531527e-05,""positive_probability"":1.0,""block_rows"":12,""draws"":500},""120s"":{""mean_mae_reduction"":2.3562606226733278e-05,""ci_low"":2.23705740565007e-05,""ci_high"":2.4737738321060492e-05,""positive_probability"":1.0,""block_rows"":24,""draws"":500},""300s"":{""mean_mae_reduction"":2.3562606226733278e-05,""ci_low"":2.1918582610153846e-05,""ci_high"":2.5106747997028167e-05,""positive_probability"":1.0,""block_rows"":60,""draws"":500}},""base_pca_to_candidate"":{""60s"":{""mean_mae_reduction"":2.685431780836583e-05,""ci_low"":2.5812480001223664e-05,""ci_high"":2.785245489428384e-05,""positive_probability"":1.0,""block_rows"":12,""draws"":500},""120s"":{""mean_mae_reduction"":2.685431780836583e-05,""ci_low"":2.5437093044130788e-05,""ci_high"":2.796892260843775e-05,""positive_probability"":1.0,""block_rows"":24,""draws"":500},""300s"":{""mean_mae_reduction"":2.685431780836583e-05,""ci_low"":2.5153474123198545e-05,""ci_high"":2.8487031972887225e-05,""positive_probability"":1.0,""block_rows"":60,""draws"":500}},""comparator_to_candidate"":{""60s"":{""mean_mae_reduction"":9.314403933668797e-06,""ci_low"":8.914214146330661e-06,""ci_high"":9.77392263322801e-06,""positive_probability"":1.0,""block_rows"":12,""draws"":500},""120s"":{""mean_mae_reduction"":9.314403933668797e-06,""ci_low"":8.817237829674703e-06,""ci_high"":9.819623397704222e-06,""positive_probability"":1.0,""block_rows"":24,""draws"":500},""300s"":{""mean_mae_reduction"":9.314403933668797e-06,""ci_low"":8.66603589768285e-06,""ci_high"":9.930835427522566e-06,""positive_probability"":1.0,""block_rows"":60,""draws"":500}}}",,,,,0,,absolute_atm_iv_change
,,,,,,12,60,0.13292743356309408,0.04507507382213476,diagnostic_1,500,aligned_cross_seed_uncertainty_30s,,,False,"[0,0,0,0,2342]","[null,null,null,null,0.043770948094186087]",2342,0,0.09047243992028636,surface_displacement
,,,,,,24,120,0.14415240951156066,0.04534512604283997,diagnostic_1,500,aligned_cross_seed_uncertainty_30s,,,False,"[0,0,0,0,2342]","[null,null,null,null,0.043770948094186087]",2342,0,0.09047243992028636,surface_displacement
,,,,,,60,300,0.1395735691177061,0.035185297279500705,diagnostic_1,500,aligned_cross_seed_uncertainty_30s,,,False,"[0,0,0,0,2342]","[null,null,null,null,0.043770948094186087]",2342,0,0.09047243992028636,surface_displacement
,,,,,,12,60,0.06567880013873229,-0.016866759638364995,diagnostic_1,500,aligned_cross_seed_uncertainty_30s,,,False,"[0,0,0,0,2342]","[null,null,null,null,0.0045507706599954255]",2342,0,0.022956345611228408,absolute_atm_iv_change
,,,,,,24,120,0.07453599448285246,-0.016141896120426213,diagnostic_1,500,aligned_cross_seed_uncertainty_30s,,,False,"[0,0,0,0,2342]","[null,null,null,null,0.0045507706599954255]",2342,0,0.022956345611228408,absolute_atm_iv_change
,,,,,,60,300,0.07625096576876389,-0.01796528097858061,diagnostic_1,500,aligned_cross_seed_uncertainty_30s,,,False,"[0,0,0,0,2342]","[null,null,null,null,0.0045507706599954255]",2342,0,0.022956345611228408,absolute_atm_iv_change
,,,,,,12,60,0.1270313674756202,-0.05591258729168977,diagnostic_1,500,aligned_cross_seed_uncertainty_30s,,,False,"[0,0,0,0,2342]","[null,null,null,null,0.00011404065644264808]",2342,0,0.024282805781812838,realized_futures_volatility
,,,,,,24,120,0.13686645196531233,-0.06609883106688295,diagnostic_1,500,aligned_cross_seed_uncertainty_30s,,,False,"[0,0,0,0,2342]","[null,null,null,null,0.00011404065644264808]",2342,0,0.024282805781812838,realized_futures_volatility
,,,,,,60,300,0.14831924443809208,-0.05685617379172062,diagnostic_1,500,aligned_cross_seed_uncertainty_30s,,,False,"[0,0,0,0,2342]","[null,null,null,null,0.00011404065644264808]",2342,0,0.024282805781812838,realized_futures_volatility
,,,,,,12,60,0.05288303371692159,-0.08679351372979256,diagnostic_1,500,aligned_cross_seed_uncertainty_30s,,,False,"[0,0,0,0,2342]","[null,null,null,null,8.653433886885542e-05]",2342,0,-0.021939070882405914,absolute_futures_return
,,,,,,24,120,0.06204095005611411,-0.08627225279613294,diagnostic_1,500,aligned_cross_seed_uncertainty_30s,,,False,"[0,0,0,0,2342]","[null,null,null,null,8.653433886885542e-05]",2342,0,-0.021939070882405914,absolute_futures_return
,,,,,,60,300,0.07743435657596133,-0.08258731947644078,diagnostic_1,500,aligned_cross_seed_uncertainty_30s,,,False,"[0,0,0,0,2342]","[null,null,null,null,8.653433886885542e-05]",2342,0,-0.021939070882405914,absolute_futures_return
,,,,,,12,60,0.02566986156412542,-0.047341593941021116,diagnostic_1,500,aligned_cross_seed_uncertainty_30s,,,False,"[0,0,0,0,2342]","[null,null,null,null,-1.7938044063455045e-06]",2342,0,-0.011358909462336187,near_atm_spread_change
,,,,,,24,120,0.013260220697322352,-0.04195393596753664,diagnostic_1,500,aligned_cross_seed_uncertainty_30s,,,False,"[0,0,0,0,2342]","[null,null,null,null,-1.7938044063455045e-06]",2342,0,-0.011358909462336187,near_atm_spread_change
,,,,,,60,300,0.003289400635900092,-0.03509081484053889,diagnostic_1,500,aligned_cross_seed_uncertainty_30s,,,False,"[0,0,0,0,2342]","[null,null,null,null,-1.7938044063455045e-06]",2342,0,-0.011358909462336187,near_atm_spread_change
,,,,,,12,60,-0.11998664491664796,-0.25937459471186064,diagnostic_1,500,aligned_cross_seed_uncertainty_30s,,,False,"[0,0,0,0,2342]","[null,null,null,null,4.62682661620294e-05]",2342,0,-0.1909013252712873,absolute_atm_straddle_change
,,,,,,24,120,-0.10970581246077542,-0.26443751369903723,diagnostic_1,500,aligned_cross_seed_uncertainty_30s,,,False,"[0,0,0,0,2342]","[null,null,null,null,4.62682661620294e-05]",2342,0,-0.1909013252712873,absolute_atm_straddle_change
,,,,,,60,300,-0.08739872869748493,-0.26316828068309817,diagnostic_1,500,aligned_cross_seed_uncertainty_30s,,,False,"[0,0,0,0,2342]","[null,null,null,null,4.62682661620294e-05]",2342,0,-0.1909013252712873,absolute_atm_straddle_change
,,,,,,12,60,0.02253697857203533,-0.10722679832977626,diagnostic_1,500,aligned_cross_seed_uncertainty_30s,,,False,"[0,0,0,0,2342]","[null,null,null,null,3.615126816807776e-07]",2342,0,-0.04554985883225249,parity_restoration
,,,,,,24,120,0.014664385936910185,-0.09562419103804706,diagnostic_1,500,aligned_cross_seed_uncertainty_30s,,,False,"[0,0,0,0,2342]","[null,null,null,null,3.615126816807776e-07]",2342,0,-0.04554985883225249,parity_restoration
,,,,,,60,300,0.015451021060573427,-0.08619472085619181,diagnostic_1,500,aligned_cross_seed_uncertainty_30s,,,False,"[0,0,0,0,2342]","[null,null,null,null,3.615126816807776e-07]",2342,0,-0.04554985883225249,parity_restoration
-0.004032467533416906,0.03094337964239713,0.012903542257472145,-0.0008233169374218807,-0.046058234307364776,-0.08200533791537845,,,,,diagnostic_1,,uncertainty_increment_30s,-0.013726859194894026,"{""base_to_candidate"":{""60s"":{""mean_mae_reduction"":0.0006892757180218656,""ci_low"":0.0006318716437095021,""ci_high"":0.0007408165287963168,""positive_probability"":1.0,""block_rows"":12,""draws"":500},""120s"":{""mean_mae_reduction"":0.0006892757180218656,""ci_low"":0.0006349204277068892,""ci_high"":0.0007470892116871043,""positive_probability"":1.0,""block_rows"":24,""draws"":500},""300s"":{""mean_mae_reduction"":0.0006892757180218656,""ci_low"":0.0006305715053120792,""ci_high"":0.0007499569850156596,""positive_probability"":1.0,""block_rows"":60,""draws"":500}},""base_pca_to_candidate"":{""60s"":{""mean_mae_reduction"":0.0006706521459536376,""ci_low"":0.0006024466073369509,""ci_high"":0.0007411388082260075,""positive_probability"":1.0,""block_rows"":12,""draws"":500},""120s"":{""mean_mae_reduction"":0.0006706521459536376,""ci_low"":0.0005902786089479404,""ci_high"":0.0007401405978673476,""positive_probability"":1.0,""block_rows"":24,""draws"":500},""300s"":{""mean_mae_reduction"":0.0006706521459536376,""ci_low"":0.000589786519569225,""ci_high"":0.0007452058280104547,""positive_probability"":1.0,""block_rows"":60,""draws"":500}},""comparator_to_candidate"":{""60s"":{""mean_mae_reduction"":-0.00026320870885509617,""ci_low"":-0.0002922492325650238,""ci_high"":-0.00023726683468284641,""positive_probability"":0.0,""block_rows"":12,""draws"":500},""120s"":{""mean_mae_reduction"":-0.00026320870885509617,""ci_low"":-0.0002959542434433325,""ci_high"":-0.00023436402894193216,""positive_probability"":0.0,""block_rows"":24,""draws"":500},""300s"":{""mean_mae_reduction"":-0.00026320870885509617,""ci_low"":-0.00029195089962246476,""ci_high"":-0.00023441051990870073,""positive_probability"":0.0,""block_rows"":60,""draws"":500}}}",,,,,0,,surface_displacement
0.1412867257999385,0.13269495867274228,0.175513325671262,0.16632710285929764,0.16496162275202886,0.1716380222591154,,,,,diagnostic_1,,uncertainty_increment_30s,-0.00918622281196435,"{""base_to_candidate"":{""60s"":{""mean_mae_reduction"":-2.899756565606602e-05,""ci_low"":-3.05640332618488e-05,""ci_high"":-2.7342952362196476e-05,""positive_probability"":0.0,""block_rows"":12,""draws"":500},""120s"":{""mean_mae_reduction"":-2.899756565606602e-05,""ci_low"":-3.121174737502177e-05,""ci_high"":-2.7026053957396204e-05,""positive_probability"":0.0,""block_rows"":24,""draws"":500},""300s"":{""mean_mae_reduction"":-2.899756565606602e-05,""ci_low"":-3.127645814818968e-05,""ci_high"":-2.639195159989321e-05,""positive_probability"":0.0,""block_rows"":60,""draws"":500}},""base_pca_to_candidate"":{""60s"":{""mean_mae_reduction"":-3.731657027235404e-05,""ci_low"":-3.912235392803007e-05,""ci_high"":-3.538184089782729e-05,""positive_probability"":0.0,""block_rows"":12,""draws"":500},""120s"":{""mean_mae_reduction"":-3.731657027235404e-05,""ci_low"":-3.9574115796943856e-05,""ci_high"":-3.503237584514252e-05,""positive_probability"":0.0,""block_rows"":24,""draws"":500},""300s"":{""mean_mae_reduction"":-3.731657027235404e-05,""ci_low"":-4.02977498443344e-05,""ci_high"":-3.4386250528914806e-05,""positive_probability"":0.0,""block_rows"":60,""draws"":500}},""comparator_to_candidate"":{""60s"":{""mean_mae_reduction"":-3.989846605770906e-05,""ci_low"":-4.237099695254742e-05,""ci_high"":-3.7741984281076007e-05,""positive_probability"":0.0,""block_rows"":12,""draws"":500},""120s"":{""mean_mae_reduction"":-3.989846605770906e-05,""ci_low"":-4.2986212610471124e-05,""ci_high"":-3.70396754256346e-05,""positive_probability"":0.0,""block_rows"":24,""draws"":500},""300s"":{""mean_mae_reduction"":-3.989846605770906e-05,""ci_low"":-4.3230820810648085e-05,""ci_high"":-3.674636508988032e-05,""positive_probability"":0.0,""block_rows"":60,""draws"":500}}}",,,,,0,,absolute_atm_iv_change
