diagnostic,horizon,target,median_handcrafted_base_skill,median_jepa_skill,median_base_plus_jepa_skill,median_base_plus_pca_skill,median_base_plus_random_skill,median_base_plus_shuffled_jepa_skill,median_flattened_context_skill
diagnostic_1,60s,absolute_atm_straddle_change,0.12248666938443564,0.002780385462401891,0.038331244913248574,0.12106720101720814,0.13270293933834698,0.12077353544510883,-0.6609994363084148
diagnostic_1,60s,near_atm_spread_change,0.2030049006700183,-0.10304531869387024,0.20728458493007185,0.2150011528046365,0.08768908758821548,0.20313099051503047,0.1451604306254174
diagnostic_1,60s,signed_atm_iv_change,0.07452552389352973,0.003984228749950858,0.06767401396098327,0.08256269199558308,0.07876030577461335,0.07698996476425313,0.06266949108267617
diagnostic_1,60s,absolute_atm_iv_change,0.18918687137651236,0.043456335147740166,0.1487714488219718,0.19553335494808644,0.1849714918780616,0.18561301825917398,0.03808307115648879
diagnostic_1,60s,surface_displacement,-0.07060685397559308,0.013024286432548604,-0.02521984390964427,0.11570734256563053,-0.07294887165820652,0.006480381937756907,-1.361320850824229
diagnostic_1,300s,signed_futures_return,-0.5997454387911463,-0.06888079032446015,-0.0655271013384604,-0.5757712842798439,-0.1287650813314094,-0.6286112367110566,-13.026665532627394
diagnostic_1,300s,absolute_futures_return,-3.503607585509127,-0.10848183493314356,-4.714183834466576,-5.444953457110205,-5.011004464800024,-3.490181200544524,-9.724828893839364
diagnostic_1,300s,realized_futures_volatility,-6.476770550293314,-0.4508959197875415,-11.61370851197389,-10.186101732088682,-9.15278819333814,-6.480858520346681,-55.234645493502164
diagnostic_1,300s,signed_atm_straddle_change,-0.25511928833050757,0.006661887792348553,-0.0016376808759064332,-0.23587569948678455,-0.22455101144719225,-0.266652180862478,-0.49908350393982137
diagnostic_1,300s,absolute_atm_straddle_change,-0.015599854638168598,0.08174286662843733,0.1826571936685536,0.19402108598999857,0.13883850467474457,-0.023306488164629213,0.05027455132347336
diagnostic_1,300s,near_atm_spread_change,-0.3788279593517878,-0.20703289384910728,-0.2228705887205651,-0.40106814741541363,-0.4713474737060859,-0.39033172560577967,-1.3963773443537586
diagnostic_1,300s,signed_atm_iv_change,-0.005698170832968641,0.0015811252866181347,0.029545817869123803,-0.00921653603379391,0.0034956211813501614,-0.00854465450374442,0.10805372315177952
diagnostic_1,300s,absolute_atm_iv_change,0.12613029448532298,0.059718014333915104,0.17333161240752404,0.18364002231654497,0.17235074936803474,0.12468178638277971,0.1480187638315945
diagnostic_1,300s,surface_displacement,0.12437596772234016,0.0518386265869748,-0.03323521496655113,0.17417671812101443,0.14586277188338248,0.1207697137811341,-1.6272969508089083
diagnostic_2,30s,signed_futures_return,-2.8969206993788954,-0.04910252333017939,-1.6878866036939408,-2.04163619885538,-3.0759018949873838,-2.8421074850330914,-5.229192013711013
diagnostic_2,30s,absolute_futures_return,-0.244145025579261,-0.3219391704154604,-0.38132541429416933,-0.6733617713096198,-0.4841666560304083,-0.2546816418461493,-11.321657996274219
diagnostic_2,30s,realized_futures_volatility,-0.6233649288031506,-0.00017365825512638544,-0.5203240025161395,-1.5504761838645842,-0.9181670328940914,-0.6193684282752372,-2.066223838633591
diagnostic_2,30s,signed_atm_straddle_change,-0.22831582483117718,0.0004692766952765215,-0.043967722148554156,-0.08428388152338728,-0.20019280572770937,-0.22411809603533617,-0.17807167641266042
diagnostic_2,30s,absolute_atm_straddle_change,-0.06734775002672144,-0.047324095992935966,-0.08198555964983933,-0.22732741491407693,-0.0949431619818899,-0.07590007115636421,-0.47392250606640074
diagnostic_2,30s,near_atm_spread_change,0.16481793905250308,0.00858268359885117,0.15712043321847724,0.16133709604271818,0.1402705987339724,0.1603830674508423,0.02080973184234991
diagnostic_2,30s,signed_atm_iv_change,0.08138523026992162,0.004762021150722884,0.08883570261475782,0.08377765432153561,0.08098273619377727,0.08036018812735957,0.03937501899971718
diagnostic_2,30s,absolute_atm_iv_change,0.19453309243206562,0.03746095292477192,0.16884760475684768,0.17805565200101414,0.19019950452292678,0.1928633433578807,-0.21256270069650762
diagnostic_2,30s,surface_displacement,-0.12138007816571239,-4.307593179642133e-05,0.009796338857517184,-0.09377086642439192,-0.40849177916065327,-0.08514452191391819,-1.6470307820965773
diagnostic_2,60s,signed_futures_return,-6.405929034309747,-0.0014564459935373364,-19.60146186810176,-9.820680900720287,-6.4559286627138075,-5.812283871063334,-0.14131850327467488
diagnostic_2,60s,absolute_futures_return,-0.5410630285827911,-0.025793785626903487,-0.9597459783390476,-7.506467870728063,-1.254696630400106,-0.49862426860737785,-18.589799682190765
diagnostic_2,60s,realized_futures_volatility,-0.8480260249672458,-0.09827459404434857,-0.48575417671479637,-2.188165718475833,-1.5783282233241662,-0.8546356286024144,-2.934345800633968
diagnostic_2,60s,signed_atm_straddle_change,-0.7157488687669171,-0.004811743951798286,-0.08131636487138927,-0.10310162353784569,-0.1855696005970522,-0.7397631005335137,-0.6096363812584289
diagnostic_2,60s,absolute_atm_straddle_change,0.08835353135055202,-0.01242522073494845,0.06376735025649083,0.09035062230715307,0.10373925361394276,0.08647955449525102,-0.3703793040569303
diagnostic_2,60s,near_atm_spread_change,0.1517920938813453,-0.0003007370086229866,0.16721965913752546,0.160637040060709,0.07207525263774572,0.15167474378134915,0.1160554435532406
diagnostic_2,60s,signed_atm_iv_change,0.10086934752608179,0.004519446826485862,0.08351988592719017,0.09871123862292264,0.10102640067463475,0.10139025116193823,0.06633853645570131
diagnostic_2,60s,absolute_atm_iv_change,0.19752736458808862,0.036961500632077815,0.14938723000791243,0.21059125251692545,0.18649356716126475,0.1889260810859864,0.035545489667727415
diagnostic_2,60s,surface_displacement,-0.13715505851242016,0.004644330565388932,-0.07415950923915915,0.08746011724376868,-0.12060665687981431,-0.020510711106317192,-1.1991758382931819
diagnostic_2,300s,signed_futures_return,-0.6602427152389865,-0.06841649580999176,-0.24517181411628552,-0.6208782842867797,-0.28674088591388025,-0.6934014772806516,-12.603935609245804
diagnostic_2,300s,absolute_futures_return,-2.999326113571164,-0.04952781954929253,-4.98072123096017,-4.907842253812928,-4.362541925147102,-2.9688636228303737,-8.833261466163897
diagnostic_2,300s,realized_futures_volatility,-4.1302461930776255,-0.031755534582759815,-8.55614954207857,-6.946655401911019,-5.78460547416204,-4.115552085408058,-43.116479497193644
diagnostic_2,300s,signed_atm_straddle_change,-0.08734449731388172,0.006592544496762498,0.04039240353177065,-0.07411606215546973,-0.04926610720175861,-0.09453536398907003,-0.18690710833406432
diagnostic_2,300s,absolute_atm_straddle_change,-0.06995949556720982,0.05824438253062958,0.11075266157871888,0.12470849914689275,0.06082257623396903,-0.07854646896334216,0.07617191460678086
diagnostic_2,300s,near_atm_spread_change,-0.6453596845426444,-0.0665766677313091,-0.5432410880351641,-0.7398073889325525,-0.825384909435362,-0.6315219248346917,-1.520797308792901
diagnostic_2,300s,signed_atm_iv_change,0.0396088576488296,0.005123348478564105,0.06412334621468219,0.036109702205073146,0.05464505907431905,0.037238653498209096,-0.1080851462229595
diagnostic_2,300s,absolute_atm_iv_change,0.1182630485603331,0.057372486640897224,0.17428810402928718,0.18114413478682523,0.16578029758528423,0.1152439499123844,0.1485187826026576
diagnostic_2,300s,surface_displacement,0.06419688524172151,0.04615186542318406,-0.04479464641321007,0.10965333230057195,0.08737967324730878,0.056777086623719275,-1.7400031281470256
